Sample in Buffer,Sample in Window,TRIGGER,design_1_i/encoder_counter_0_counter[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
1012,1012,0,80
1013,1013,0,80
1014,1014,0,80
1015,1015,0,80
1016,1016,0,80
1017,1017,0,80
1018,1018,0,80
1019,1019,0,80
1020,1020,0,80
1021,1021,0,80
1022,1022,0,80
1023,1023,0,80
